accession	ena_accessions	title	biome	updated_at	downloads	metadata	first_accession
MGYS00010296	['ERP166137', 'PRJEB82448']	Microbiome-mediated tolerance of wild tomato to the invasive insect Prodiplosis longifila	{'biome_name': 'Rhizosphere', 'lineage': 'root:Host-associated:Plants:Rhizosphere'}	2025-07-23T14:00:52.352000+00:00	[]	{}	ERP166137
MGYS00010297	['SRP333165', 'PRJNA755742']	Tomato rhizosphere microbiome in the pot experiment	{'biome_name': 'Rhizosphere', 'lineage': 'root:Host-associated:Plants:Rhizosphere'}	2025-07-23T11:42:02.227000+00:00	[]	{}	SRP333165
MGYS00006231	['ERP139927', 'PRJEB55060']	EMG produced TPA metagenomics assembly of PRJNA789467 data set (Disentangling the genetic basis of rhizosphere microbiome assembly in tomato (metagenomics part)).	{'biome_name': 'Rhizosphere', 'lineage': 'root:Host-associated:Plants:Rhizosphere'}	2026-04-30T22:27:28.963000+00:00	[{'file_type': 'tsv', 'download_type': 'Taxonomic analysis', 'short_description': 'Phylum level taxonomies SSU', 'long_description': 'Phylum level taxonomies SSU (TSV)', 'alias': 'ERP139927_phylum_taxonomy_abundances_SSU_v5.0.tsv', 'download_group': 'study_summary.v5.0.taxonomic_analysis_ssu_rrna', 'file_size_bytes': None, 'index_files': None, 'url': None}, {'file_type': 'tsv', 'download_type': 'Taxonomic analysis', 'short_description': 'Taxonomic assignments SSU', 'long_description': 'Taxonomic assignments SSU (TSV)', 'alias': 'ERP139927_taxonomy_abundances_SSU_v5.0.tsv', 'download_group': 'study_summary.v5.0.taxonomic_analysis_ssu_rrna', 'file_size_bytes': None, 'index_files': None, 'url': None}, {'file_type': 'tsv', 'download_type': 'Taxonomic analysis', 'short_description': 'Phylum level taxonomies LSU', 'long_description': 'Phylum level taxonomies LSU (TSV)', 'alias': 'ERP139927_phylum_taxonomy_abundances_LSU_v5.0.tsv', 'download_group': 'study_summary.v5.0.taxonomic_analysis_lsu_rrna', 'file_size_bytes': None, 'index_files': None, 'url': None}, {'file_type': 'tsv', 'download_type': 'Taxonomic analysis', 'short_description': 'Taxonomic assignments LSU', 'long_description': 'Taxonomic assignments LSU (TSV)', 'alias': 'ERP139927_taxonomy_abundances_LSU_v5.0.tsv', 'download_group': 'study_summary.v5.0.taxonomic_analysis_lsu_rrna', 'file_size_bytes': None, 'index_files': None, 'url': None}, {'file_type': 'tsv', 'download_type': 'Functional analysis', 'short_description': 'InterPro matches', 'long_description': 'InterPro matches (TSV)', 'alias': 'ERP139927_IPR_abundances_v5.0.tsv', 'download_group': 'study_summary.v5.0.functional_analysis', 'file_size_bytes': None, 'index_files': None, 'url': None}, {'file_type': 'tsv', 'download_type': 'Functional analysis', 'short_description': 'GO slim annotation', 'long_description': 'GO slim annotation', 'alias': 'ERP139927_GO-slim_abundances_v5.0.tsv', 'download_group': 'study_summary.v5.0.functional_analysis', 'file_size_bytes': None, 'index_files': None, 'url': None}, {'file_type': 'tsv', 'download_type': 'Functional analysis', 'short_description': 'Complete GO annotation', 'long_description': 'Complete GO annotation', 'alias': 'ERP139927_GO_abundances_v5.0.tsv', 'download_group': 'study_summary.v5.0.functional_analysis', 'file_size_bytes': None, 'index_files': None, 'url': None}]	{}	ERP139927
MGYS00006204	['ERP140102', 'PRJEB55219']	EMG produced TPA metagenomics assembly of PRJNA755741 data set (Tomato rhizosphere microbiome in the belowground segregation experiment).	{'biome_name': 'Rhizosphere', 'lineage': 'root:Host-associated:Plants:Rhizosphere'}	2026-04-30T22:01:19.102000+00:00	[{'file_type': 'tsv', 'download_type': 'Taxonomic analysis', 'short_description': 'Phylum level taxonomies SSU', 'long_description': 'Phylum level taxonomies SSU (TSV)', 'alias': 'ERP140102_phylum_taxonomy_abundances_SSU_v5.0.tsv', 'download_group': 'study_summary.v5.0.taxonomic_analysis_ssu_rrna', 'file_size_bytes': None, 'index_files': None, 'url': None}, {'file_type': 'tsv', 'download_type': 'Taxonomic analysis', 'short_description': 'Taxonomic assignments SSU', 'long_description': 'Taxonomic assignments SSU (TSV)', 'alias': 'ERP140102_taxonomy_abundances_SSU_v5.0.tsv', 'download_group': 'study_summary.v5.0.taxonomic_analysis_ssu_rrna', 'file_size_bytes': None, 'index_files': None, 'url': None}, {'file_type': 'tsv', 'download_type': 'Taxonomic analysis', 'short_description': 'Phylum level taxonomies LSU', 'long_description': 'Phylum level taxonomies LSU (TSV)', 'alias': 'ERP140102_phylum_taxonomy_abundances_LSU_v5.0.tsv', 'download_group': 'study_summary.v5.0.taxonomic_analysis_lsu_rrna', 'file_size_bytes': None, 'index_files': None, 'url': None}, {'file_type': 'tsv', 'download_type': 'Taxonomic analysis', 'short_description': 'Taxonomic assignments LSU', 'long_description': 'Taxonomic assignments LSU (TSV)', 'alias': 'ERP140102_taxonomy_abundances_LSU_v5.0.tsv', 'download_group': 'study_summary.v5.0.taxonomic_analysis_lsu_rrna', 'file_size_bytes': None, 'index_files': None, 'url': None}, {'file_type': 'tsv', 'download_type': 'Functional analysis', 'short_description': 'InterPro matches', 'long_description': 'InterPro matches (TSV)', 'alias': 'ERP140102_IPR_abundances_v5.0.tsv', 'download_group': 'study_summary.v5.0.functional_analysis', 'file_size_bytes': None, 'index_files': None, 'url': None}, {'file_type': 'tsv', 'download_type': 'Functional analysis', 'short_description': 'GO slim annotation', 'long_description': 'GO slim annotation', 'alias': 'ERP140102_GO-slim_abundances_v5.0.tsv', 'download_group': 'study_summary.v5.0.functional_analysis', 'file_size_bytes': None, 'index_files': None, 'url': None}, {'file_type': 'tsv', 'download_type': 'Functional analysis', 'short_description': 'Complete GO annotation', 'long_description': 'Complete GO annotation', 'alias': 'ERP140102_GO_abundances_v5.0.tsv', 'download_group': 'study_summary.v5.0.functional_analysis', 'file_size_bytes': None, 'index_files': None, 'url': None}]	{}	ERP140102
MGYS00006205	['ERP140107', 'PRJEB55224']	EMG produced TPA metagenomics assembly of PRJNA755742 data set (Tomato rhizosphere microbiome in the pot experiment).	{'biome_name': 'Rhizosphere', 'lineage': 'root:Host-associated:Plants:Rhizosphere'}	2026-04-30T22:01:31.666000+00:00	[{'file_type': 'tsv', 'download_type': 'Taxonomic analysis', 'short_description': 'Phylum level taxonomies SSU', 'long_description': 'Phylum level taxonomies SSU (TSV)', 'alias': 'ERP140107_phylum_taxonomy_abundances_SSU_v5.0.tsv', 'download_group': 'study_summary.v5.0.taxonomic_analysis_ssu_rrna', 'file_size_bytes': None, 'index_files': None, 'url': None}, {'file_type': 'tsv', 'download_type': 'Taxonomic analysis', 'short_description': 'Taxonomic assignments SSU', 'long_description': 'Taxonomic assignments SSU (TSV)', 'alias': 'ERP140107_taxonomy_abundances_SSU_v5.0.tsv', 'download_group': 'study_summary.v5.0.taxonomic_analysis_ssu_rrna', 'file_size_bytes': None, 'index_files': None, 'url': None}, {'file_type': 'tsv', 'download_type': 'Taxonomic analysis', 'short_description': 'Phylum level taxonomies LSU', 'long_description': 'Phylum level taxonomies LSU (TSV)', 'alias': 'ERP140107_phylum_taxonomy_abundances_LSU_v5.0.tsv', 'download_group': 'study_summary.v5.0.taxonomic_analysis_lsu_rrna', 'file_size_bytes': None, 'index_files': None, 'url': None}, {'file_type': 'tsv', 'download_type': 'Taxonomic analysis', 'short_description': 'Taxonomic assignments LSU', 'long_description': 'Taxonomic assignments LSU (TSV)', 'alias': 'ERP140107_taxonomy_abundances_LSU_v5.0.tsv', 'download_group': 'study_summary.v5.0.taxonomic_analysis_lsu_rrna', 'file_size_bytes': None, 'index_files': None, 'url': None}, {'file_type': 'tsv', 'download_type': 'Functional analysis', 'short_description': 'InterPro matches', 'long_description': 'InterPro matches (TSV)', 'alias': 'ERP140107_IPR_abundances_v5.0.tsv', 'download_group': 'study_summary.v5.0.functional_analysis', 'file_size_bytes': None, 'index_files': None, 'url': None}, {'file_type': 'tsv', 'download_type': 'Functional analysis', 'short_description': 'GO slim annotation', 'long_description': 'GO slim annotation', 'alias': 'ERP140107_GO-slim_abundances_v5.0.tsv', 'download_group': 'study_summary.v5.0.functional_analysis', 'file_size_bytes': None, 'index_files': None, 'url': None}, {'file_type': 'tsv', 'download_type': 'Functional analysis', 'short_description': 'Complete GO annotation', 'long_description': 'Complete GO annotation', 'alias': 'ERP140107_GO_abundances_v5.0.tsv', 'download_group': 'study_summary.v5.0.functional_analysis', 'file_size_bytes': None, 'index_files': None, 'url': None}]	{}	ERP140107
MGYS00006230	['ERP139923', 'PRJEB55057']	EMG produced TPA metagenomics assembly of PRJNA745270 data set (metagenomics sequence of manure and unmanured rhizosphere soil of tomato plant).	{'biome_name': 'Rhizosphere', 'lineage': 'root:Host-associated:Plants:Rhizosphere'}	2026-04-30T22:25:40.059000+00:00	[{'file_type': 'tsv', 'download_type': 'Taxonomic analysis', 'short_description': 'Phylum level taxonomies SSU', 'long_description': 'Phylum level taxonomies SSU (TSV)', 'alias': 'ERP139923_phylum_taxonomy_abundances_SSU_v5.0.tsv', 'download_group': 'study_summary.v5.0.taxonomic_analysis_ssu_rrna', 'file_size_bytes': None, 'index_files': None, 'url': None}, {'file_type': 'tsv', 'download_type': 'Taxonomic analysis', 'short_description': 'Taxonomic assignments SSU', 'long_description': 'Taxonomic assignments SSU (TSV)', 'alias': 'ERP139923_taxonomy_abundances_SSU_v5.0.tsv', 'download_group': 'study_summary.v5.0.taxonomic_analysis_ssu_rrna', 'file_size_bytes': None, 'index_files': None, 'url': None}, {'file_type': 'tsv', 'download_type': 'Taxonomic analysis', 'short_description': 'Phylum level taxonomies LSU', 'long_description': 'Phylum level taxonomies LSU (TSV)', 'alias': 'ERP139923_phylum_taxonomy_abundances_LSU_v5.0.tsv', 'download_group': 'study_summary.v5.0.taxonomic_analysis_lsu_rrna', 'file_size_bytes': None, 'index_files': None, 'url': None}, {'file_type': 'tsv', 'download_type': 'Taxonomic analysis', 'short_description': 'Taxonomic assignments LSU', 'long_description': 'Taxonomic assignments LSU (TSV)', 'alias': 'ERP139923_taxonomy_abundances_LSU_v5.0.tsv', 'download_group': 'study_summary.v5.0.taxonomic_analysis_lsu_rrna', 'file_size_bytes': None, 'index_files': None, 'url': None}, {'file_type': 'tsv', 'download_type': 'Functional analysis', 'short_description': 'InterPro matches', 'long_description': 'InterPro matches (TSV)', 'alias': 'ERP139923_IPR_abundances_v5.0.tsv', 'download_group': 'study_summary.v5.0.functional_analysis', 'file_size_bytes': None, 'index_files': None, 'url': None}, {'file_type': 'tsv', 'download_type': 'Functional analysis', 'short_description': 'GO slim annotation', 'long_description': 'GO slim annotation', 'alias': 'ERP139923_GO-slim_abundances_v5.0.tsv', 'download_group': 'study_summary.v5.0.functional_analysis', 'file_size_bytes': None, 'index_files': None, 'url': None}, {'file_type': 'tsv', 'download_type': 'Functional analysis', 'short_description': 'Complete GO annotation', 'long_description': 'Complete GO annotation', 'alias': 'ERP139923_GO_abundances_v5.0.tsv', 'download_group': 'study_summary.v5.0.functional_analysis', 'file_size_bytes': None, 'index_files': None, 'url': None}]	{}	ERP139923
MGYS00006208	['ERP140115', 'PRJEB55232']	EMG produced TPA metagenomics assembly of PRJNA766489 data set (Culture-independent analysis of rhizosphere microbial communities associated with tomato plants).	{'biome_name': 'Rhizosphere', 'lineage': 'root:Host-associated:Plants:Rhizosphere'}	2026-04-30T22:01:49.848000+00:00	[{'file_type': 'tsv', 'download_type': 'Taxonomic analysis', 'short_description': 'Phylum level taxonomies SSU', 'long_description': 'Phylum level taxonomies SSU (TSV)', 'alias': 'ERP140115_phylum_taxonomy_abundances_SSU_v5.0.tsv', 'download_group': 'study_summary.v5.0.taxonomic_analysis_ssu_rrna', 'file_size_bytes': None, 'index_files': None, 'url': None}, {'file_type': 'tsv', 'download_type': 'Taxonomic analysis', 'short_description': 'Taxonomic assignments SSU', 'long_description': 'Taxonomic assignments SSU (TSV)', 'alias': 'ERP140115_taxonomy_abundances_SSU_v5.0.tsv', 'download_group': 'study_summary.v5.0.taxonomic_analysis_ssu_rrna', 'file_size_bytes': None, 'index_files': None, 'url': None}, {'file_type': 'tsv', 'download_type': 'Taxonomic analysis', 'short_description': 'Phylum level taxonomies LSU', 'long_description': 'Phylum level taxonomies LSU (TSV)', 'alias': 'ERP140115_phylum_taxonomy_abundances_LSU_v5.0.tsv', 'download_group': 'study_summary.v5.0.taxonomic_analysis_lsu_rrna', 'file_size_bytes': None, 'index_files': None, 'url': None}, {'file_type': 'tsv', 'download_type': 'Taxonomic analysis', 'short_description': 'Taxonomic assignments LSU', 'long_description': 'Taxonomic assignments LSU (TSV)', 'alias': 'ERP140115_taxonomy_abundances_LSU_v5.0.tsv', 'download_group': 'study_summary.v5.0.taxonomic_analysis_lsu_rrna', 'file_size_bytes': None, 'index_files': None, 'url': None}, {'file_type': 'tsv', 'download_type': 'Functional analysis', 'short_description': 'InterPro matches', 'long_description': 'InterPro matches (TSV)', 'alias': 'ERP140115_IPR_abundances_v5.0.tsv', 'download_group': 'study_summary.v5.0.functional_analysis', 'file_size_bytes': None, 'index_files': None, 'url': None}, {'file_type': 'tsv', 'download_type': 'Functional analysis', 'short_description': 'GO slim annotation', 'long_description': 'GO slim annotation', 'alias': 'ERP140115_GO-slim_abundances_v5.0.tsv', 'download_group': 'study_summary.v5.0.functional_analysis', 'file_size_bytes': None, 'index_files': None, 'url': None}, {'file_type': 'tsv', 'download_type': 'Functional analysis', 'short_description': 'Complete GO annotation', 'long_description': 'Complete GO annotation', 'alias': 'ERP140115_GO_abundances_v5.0.tsv', 'download_group': 'study_summary.v5.0.functional_analysis', 'file_size_bytes': None, 'index_files': None, 'url': None}]	{}	ERP140115
MGYS00010257	['SRP456588', 'PRJNA1004080']	Combined effect of microplastics and fungicides on the growth of tomato and metagenome of rhizosphere soil.	{'biome_name': 'Soil', 'lineage': 'root:Host-associated:Plants:Rhizosphere:Soil'}	2025-07-03T18:47:35.095000+00:00	[]	{}	SRP456588
MGYS00010258	['SRP517058', 'PRJNA1127303']	Metagenomic data of rhizosphere soil during tomato growth period.	{'biome_name': 'Soil', 'lineage': 'root:Host-associated:Plants:Rhizosphere:Soil'}	2025-07-04T11:04:15.175000+00:00	[]	{}	SRP517058
MGYS00010324	['PRJEB95772']	Metagenome assembly of PRJNA777724 data set (Tomato heritable microbiome)	{'biome_name': 'Soil', 'lineage': 'root:Host-associated:Plants:Rhizosphere:Soil'}	2025-08-07T12:30:16.888000+00:00	[]	{}	PRJEB95772
MGYS00010245	['PRJEB82447', 'ERP166136']	Unveiling diversity and adaptations of the wild tomato microbiome in their center of origin in the Ecuadorian Andes	{'biome_name': 'Soil', 'lineage': 'root:Host-associated:Plants:Rhizosphere:Soil'}	2025-07-23T16:38:33.334000+00:00	[]	{}	ERP166136
MGYS00010298	['PRJNA777724', 'SRP344777']	Tomato heritable microbiome	{'biome_name': 'Soil', 'lineage': 'root:Host-associated:Plants:Rhizosphere:Soil'}	2025-08-07T15:25:59.939000+00:00	[]	{}	SRP344777
MGYS00010262	['PRJEB91684']	Metagenome assembly of PRJNA1004080 data set (Combined effect of microplastics and fungicides on the growth of tomato and metagenome of rhizosphere soil.)	{'biome_name': 'Soil', 'lineage': 'root:Host-associated:Plants:Rhizosphere:Soil'}	2025-07-03T18:41:58.194000+00:00	[]	{}	PRJEB91684
MGYS00010250	['PRJNA755741', 'SRP333163']	Tomato rhizosphere microbiome in the belowground segregation experiment	{'biome_name': 'Soil', 'lineage': 'root:Host-associated:Plants:Rhizosphere:Soil'}	2025-07-23T08:45:47.142000+00:00	[]	{}	SRP333163
MGYS00010264	['PRJEB91717']	Metagenome assembly of PRJNA1127303 data set (Metagenomic data of rhizosphere soil during tomato growth period.)	{'biome_name': 'Soil', 'lineage': 'root:Host-associated:Plants:Rhizosphere:Soil'}	2025-07-04T10:10:15.643000+00:00	[]	{}	PRJEB91717
MGYS00010251	['SRP338795', 'PRJNA766489']	Culture-independent analysis of rhizosphere microbial communities associated with tomato plants	{'biome_name': 'Soil', 'lineage': 'root:Host-associated:Plants:Rhizosphere:Soil'}	2025-07-21T17:01:18.132000+00:00	[]	{}	SRP338795
MGYS00010253	['PRJNA789467', 'SRP351203']	Disentangling the genetic basis of rhizosphere microbiome assembly in tomato (metagenomics part)	{'biome_name': 'Soil', 'lineage': 'root:Host-associated:Plants:Rhizosphere:Soil'}	2025-08-01T17:26:35.948000+00:00	[]	{}	SRP351203
